Fiscal Year,School District,County,School Name,Percentage (%) of Free & Reduced
2025,Appling County,Appling,Appling County Middle School,0.95
2025,Appling County,Appling,Appling County Elementary School,0.95
2025,Appling County,Appling,Appling County High School,0.95
2025,Appling County,Appling,Fourth District Elementary School,0.95
2025,Appling County,Appling,Altamaha Elementary School,0.95
2025,Atkinson County,Atkinson,Willacoochee Elementary School,0.9
2025,Atkinson County,Atkinson,Atkinson County High School,0.8
2025,Atkinson County,Atkinson,Atkinson County Middle School,0.86
2025,Atkinson County,Atkinson,Pearson Elementary School,0.86
2025,Atlanta Public Schools,Fulton,M. A. Jones Elementary School,0.95
2025,Atlanta Public Schools,Fulton,Thomas Heathe Slater Elementary School,0.95
2025,Atlanta Public Schools,Fulton,Midtown High School,0.27
2025,Atlanta Public Schools,Fulton,William J. Scott Elementary School,0.95
2025,Atlanta Public Schools,Fulton,Cleveland Avenue Elementary School,0.95
2025,Atlanta Public Schools,Fulton,Springdale Park Elementary School,0.19
2025,Atlanta Public Schools,Fulton,KIPP Strive Primary Charter School,0.95
2025,Atlanta Public Schools,Fulton,Booker T. Washington High School,0.95
2025,Atlanta Public Schools,Fulton,Atlanta Classical Academy,0.17
2025,Atlanta Public Schools,Fulton,KIPP VISION Charter School,0.95
2025,Atlanta Public Schools,Fulton,The Kindezi School,0.95
2025,Atlanta Public Schools,Fulton,Kipp WAYS Primary Charter School,0.95
2025,Atlanta Public Schools,Fulton,Miles Elementary School,0.95
2025,Atlanta Public Schools,Fulton,D. M. Therrell High School,0.95
2025,Atlanta Public Schools,Fulton,Coretta Scott King Young Women's Leadership Academy,0.95
2025,Atlanta Public Schools,Fulton,B.E.S.T Academy,0.95
2025,Atlanta Public Schools,Fulton,Kipp Strive Charter School,0.95
2025,Atlanta Public Schools,Fulton,South Atlanta High School,0.95
2025,Atlanta Public Schools,Fulton,Carver High School,0.95
2025,Atlanta Public Schools,Fulton,Michael R. Hollis Innovation Academy,0.95
2025,Atlanta Public Schools,Fulton,Woodson Park Academy School,0.95
