LocationType,Location,TimeFrame,Data
State,Georgia,2021,450710
State,Georgia,2022,420166
State,Georgia,2023,429049
State,Georgia,2024,417226
County,Appling,2021,1077
County,Appling,2022,971
County,Appling,2023,1025
County,Appling,2024,1006
County,Atkinson,2021,465
County,Atkinson,2022,456
County,Atkinson,2023,490
County,Atkinson,2024,488
County,Bacon,2021,717
County,Bacon,2022,667
County,Bacon,2023,673
County,Bacon,2024,683
County,Baker,2021,170
County,Baker,2022,165
County,Baker,2023,163
County,Baker,2024,176
County,Baldwin,2021,2197
County,Baldwin,2022,2041
County,Baldwin,2023,2013
County,Baldwin,2024,1956
County,Banks,2021,617
County,Banks,2022,570
County,Banks,2023,591
County,Banks,2024,578
County,Barrow,2021,2986
County,Barrow,2022,2708
County,Barrow,2023,2834
County,Barrow,2024,2804
County,Bartow,2021,4366
County,Bartow,2022,3909
County,Bartow,2023,3959
County,Bartow,2024,3814
County,Ben Hill,2021,1279
County,Ben Hill,2022,1234
County,Ben Hill,2023,1268
County,Ben Hill,2024,1067
County,Berrien,2021,1017
County,Berrien,2022,926
County,Berrien,2023,952
County,Berrien,2024,957
County,Bibb,2021,10257
County,Bibb,2022,9843
County,Bibb,2023,9831
County,Bibb,2024,9667
County,Bleckley,2021,599
County,Bleckley,2022,546
County,Bleckley,2023,570
County,Bleckley,2024,526
County,Brantley,2021,1093
County,Brantley,2022,986
County,Brantley,2023,955
County,Brantley,2024,964
County,Brooks,2021,868
County,Brooks,2022,835
County,Brooks,2023,857
County,Brooks,2024,858
County,Bryan,2021,1231
County,Bryan,2022,1072
County,Bryan,2023,1106
County,Bryan,2024,1055
County,Bulloch,2021,3481
County,Bulloch,2022,3305
County,Bulloch,2023,3390
County,Bulloch,2024,3268
County,Burke,2021,1489
County,Burke,2022,1399
County,Burke,2023,1420
County,Burke,2024,1425
County,Butts,2021,1159
County,Butts,2022,1100
County,Butts,2023,1087
County,Butts,2024,1067
County,Calhoun,2021,303
County,Calhoun,2022,289
County,Calhoun,2023,294
County,Calhoun,2024,305
County,Camden,2021,1837
