SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_CD,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
601,Appling County,103,Appling County High School,Combined Test Score,42,42,982.6,982.6
601,Appling County,103,Appling County High School,Evidence Based Reading and Writing,42,42,508.8,508.8
601,Appling County,103,Appling County High School,Math Section Score,42,42,473.8,473.8
602,Atkinson County,103,Atkinson County High School,Combined Test Score,10,10,1033,1033
602,Atkinson County,103,Atkinson County High School,Evidence Based Reading and Writing,10,10,536,536
602,Atkinson County,103,Atkinson County High School,Math Section Score,10,10,497,497
603,Bacon County,302,Bacon County High School,Combined Test Score,17,17,1007.6,1007.6
603,Bacon County,302,Bacon County High School,Evidence Based Reading and Writing,17,17,520.6,520.6
603,Bacon County,302,Bacon County High School,Math Section Score,17,17,487.1,487.1
604,Baker County,105,Baker County High School,Combined Test Score,15,15,822.7,822.7
604,Baker County,105,Baker County High School,Evidence Based Reading and Writing,15,15,430,430
604,Baker County,105,Baker County High School,Math Section Score,15,15,392.7,392.7
605,Baldwin County,189,Baldwin High School,Combined Test Score,88,88,944.1,944.1
605,Baldwin County,189,Baldwin High School,Evidence Based Reading and Writing,88,88,489.8,489.8
605,Baldwin County,189,Baldwin High School,Math Section Score,88,88,454.3,454.3
606,Banks County,199,Banks County High School,Combined Test Score,57,57,994.2,994.2
606,Banks County,199,Banks County High School,Evidence Based Reading and Writing,57,57,516.1,516.1
606,Banks County,199,Banks County High School,Math Section Score,57,57,478.1,478.1
607,Barrow County,101,Apalachee High School,Combined Test Score,251,133,1026.7,1024
607,Barrow County,101,Apalachee High School,Evidence Based Reading and Writing,251,133,524.7,524.1
607,Barrow County,101,Apalachee High School,Math Section Score,251,133,502,499.8
607,Barrow County,3052,Winder-Barrow High School,Combined Test Score,251,118,1026.7,1029.7
607,Barrow County,3052,Winder-Barrow High School,Evidence Based Reading and Writing,251,118,524.7,525.3
607,Barrow County,3052,Winder-Barrow High School,Math Section Score,251,118,502,504.3
608,Bartow County,105,Adairsville High School,Combined Test Score,293,99,1030,1054.2
608,Bartow County,105,Adairsville High School,Evidence Based Reading and Writing,293,99,534.1,543.9
608,Bartow County,105,Adairsville High School,Math Section Score,293,99,495.9,510.3
608,Bartow County,114,Cass High School,Combined Test Score,293,99,1030,988.6
608,Bartow County,114,Cass High School,Evidence Based Reading and Writing,293,99,534.1,511.9
608,Bartow County,114,Cass High School,Math Section Score,293,99,495.9,476.7
608,Bartow County,198,Woodland High School,Combined Test Score,293,95,1030,1047.8
608,Bartow County,198,Woodland High School,Evidence Based Reading and Writing,293,95,534.1,546.9
608,Bartow County,198,Woodland High School,Math Section Score,293,95,495.9,500.8
609,Ben Hill County,291,Fitzgerald High School School College and Career Academy,Combined Test Score,31,31,982.9,982.9
609,Ben Hill County,291,Fitzgerald High School School College and Career Academy,Evidence Based Reading and Writing,31,31,520.6,520.6
609,Ben Hill County,291,Fitzgerald High School School College and Career Academy,Math Section Score,31,31,462.3,462.3
610,Berrien County,101,Berrien High School,Combined Test Score,61,55,1057.5,1048
610,Berrien County,101,Berrien High School,Evidence Based Reading and Writing,61,55,561.3,552.7
610,Berrien County,101,Berrien High School,Math Section Score,61,55,496.2,495.3
610,Berrien County,106,Berrien Academy Performance Learning Center,Combined Test Score,61,TFS,1057.5,TFS
610,Berrien County,106,Berrien Academy Performance Learning Center,Evidence Based Reading and Writing,61,TFS,561.3,TFS
610,Berrien County,106,Berrien Academy Performance Learning Center,Math Section Score,61,TFS,496.2,TFS
611,Bibb County,105,Howard High School,Combined Test Score,235,54,1004.5,1030.4
611,Bibb County,105,Howard High School,Evidence Based Reading and Writing,235,54,522.8,540.6
611,Bibb County,105,Howard High School,Math Section Score,235,54,481.7,489.8
611,Bibb County,117,Academy For Classical Education,Combined Test Score,235,55,1004.5,1150.4
611,Bibb County,117,Academy For Classical Education,Evidence Based Reading and Writing,235,55,522.8,580.5
611,Bibb County,117,Academy For Classical Education,Math Section Score,235,55,481.7,569.8
611,Bibb County,186,Central High School,Combined Test Score,235,30,1004.5,953.3
611,Bibb County,186,Central High School,Evidence Based Reading and Writing,235,30,522.8,512.3
611,Bibb County,186,Central High School,Math Section Score,235,30,481.7,441
611,Bibb County,198,Westside High School,Combined Test Score,235,31,1004.5,912.3
611,Bibb County,198,Westside High School,Evidence Based Reading and Writing,235,31,522.8,472.6
611,Bibb County,198,Westside High School,Math Section Score,235,31,481.7,439.7
611,Bibb County,204,Rutland High School,Combined Test Score,235,38,1004.5,968.4
611,Bibb County,204,Rutland High School,Evidence Based Reading and Writing,235,38,522.8,511.1
611,Bibb County,204,Rutland High School,Math Section Score,235,38,481.7,457.4
611,Bibb County,286,Northeast High School,Combined Test Score,235,17,1004.5,841.2
611,Bibb County,286,Northeast High School,Evidence Based Reading and Writing,235,17,522.8,442.9
611,Bibb County,286,Northeast High School,Math Section Score,235,17,481.7,398.2
611,Bibb County,386,Southwest High School,Combined Test Score,235,10,1004.5,916
611,Bibb County,386,Southwest High School,Evidence Based Reading and Writing,235,10,522.8,476
611,Bibb County,386,Southwest High School,Math Section Score,235,10,481.7,440
612,Bleckley County,105,Bleckley County High School,Combined Test Score,49,49,1100.8,1100.8
612,Bleckley County,105,Bleckley County High School,Evidence Based Reading and Writing,49,49,555.7,555.7
612,Bleckley County,105,Bleckley County High School,Math Section Score,49,49,545.1,545.1
613,Brantley County,1050,Brantley County High School,Combined Test Score,20,20,1036,1036
613,Brantley County,1050,Brantley County High School,Evidence Based Reading and Writing,20,20,557,557
613,Brantley County,1050,Brantley County High School,Math Section Score,20,20,479,479
614,Brooks County,110,Brooks County High School,Combined Test Score,30,29,931.3,943.4
614,Brooks County,110,Brooks County High School,Evidence Based Reading and Writing,30,29,483.3,486.9
614,Brooks County,110,Brooks County High School,Math Section Score,30,29,448,456.6
614,Brooks County,394,Delta Innovative School,Combined Test Score,30,TFS,931.3,TFS
614,Brooks County,394,Delta Innovative School,Evidence Based Reading and Writing,30,TFS,483.3,TFS
614,Brooks County,394,Delta Innovative School,Math Section Score,30,TFS,448,TFS
615,Bryan County,182,Richmond Hill High School,Combined Test Score,302,262,1056.5,1064.9
615,Bryan County,182,Richmond Hill High School,Evidence Based Reading and Writing,302,262,545.4,548.6
615,Bryan County,182,Richmond Hill High School,Math Section Score,302,262,511.1,516.3
615,Bryan County,402,Bryan County Middle School,Combined Test Score,302,TFS,1056.5,TFS
615,Bryan County,402,Bryan County Middle School,Evidence Based Reading and Writing,302,TFS,545.4,TFS
615,Bryan County,402,Bryan County Middle School,Math Section Score,302,TFS,511.1,TFS
615,Bryan County,502,Bryan County High School,Combined Test Score,302,39,1056.5,999
615,Bryan County,502,Bryan County High School,Evidence Based Reading and Writing,302,39,545.4,522.3
615,Bryan County,502,Bryan County High School,Math Section Score,302,39,511.1,476.7
616,Bulloch County,203,Southeast Bulloch High School,Combined Test Score,169,73,1066.6,1100.8
616,Bulloch County,203,Southeast Bulloch High School,Evidence Based Reading and Writing,169,73,553,571.5
616,Bulloch County,203,Southeast Bulloch High School,Math Section Score,169,73,513.7,529.3
616,Bulloch County,2054,Statesboro High School,Combined Test Score,169,87,1066.6,1035.6
616,Bulloch County,2054,Statesboro High School,Evidence Based Reading and Writing,169,87,553,536
616,Bulloch County,2054,Statesboro High School,Math Section Score,169,87,513.7,499.7
616,Bulloch County,4052,Portal Middle/High School,Combined Test Score,169,TFS,1066.6,TFS
616,Bulloch County,4052,Portal Middle/High School,Evidence Based Reading and Writing,169,TFS,553,TFS
616,Bulloch County,4052,Portal Middle/High School,Math Section Score,169,TFS,513.7,TFS
617,Burke County,288,Burke County High School,Combined Test Score,74,74,939.7,939.7
617,Burke County,288,Burke County High School,Evidence Based Reading and Writing,74,74,496.4,496.4
617,Burke County,288,Burke County High School,Math Section Score,74,74,443.4,443.4
618,Butts County,190,Jackson High School,Combined Test Score,61,61,956.7,956.7
618,Butts County,190,Jackson High School,Evidence Based Reading and Writing,61,61,497.5,497.5
618,Butts County,190,Jackson High School,Math Section Score,61,61,459.2,459.2
619,Calhoun County,113,Calhoun County High School,Combined Test Score,TFS,TFS,TFS,TFS
619,Calhoun County,113,Calhoun County High School,Evidence Based Reading and Writing,TFS,TFS,TFS,TFS
619,Calhoun County,113,Calhoun County High School,Math Section Score,TFS,TFS,TFS,TFS
620,Camden County,295,Camden County High School,Combined Test Score,222,222,1081.3,1081.3
620,Camden County,295,Camden County High School,Evidence Based Reading and Writing,222,222,552.1,552.1
620,Camden County,295,Camden County High School,Math Section Score,222,222,529.2,529.2
621,Candler County,101,Metter High School,Combined Test Score,38,36,956.1,963.1
621,Candler County,101,Metter High School,Evidence Based Reading and Writing,38,36,496.1,499.2
621,Candler County,101,Metter High School,Math Section Score,38,36,460,463.9
621,Candler County,303,Metter College and Career Academy,Combined Test Score,38,TFS,956.1,TFS
621,Candler County,303,Metter College and Career Academy,Evidence Based Reading and Writing,38,TFS,496.1,TFS
621,Candler County,303,Metter College and Career Academy,Math Section Score,38,TFS,460,TFS
622,Carroll County,189,Temple High School,Combined Test Score,310,35,1041.8,1041.1
622,Carroll County,189,Temple High School,Evidence Based Reading and Writing,310,35,538.7,543.4
622,Carroll County,189,Temple High School,Math Section Score,310,35,503.1,497.7
622,Carroll County,212,Mt. Zion High School,Combined Test Score,310,17,1041.8,1047.1
622,Carroll County,212,Mt. Zion High School,Evidence Based Reading and Writing,310,17,538.7,549.4
622,Carroll County,212,Mt. Zion High School,Math Section Score,310,17,503.1,497.6
622,Carroll County,2052,Central High School,Combined Test Score,310,88,1041.8,1073.9
