System Code,School Code,System Name,School Name,Number Received SGP,"Median
SGP",% Low Growth,% Typical Growth,% High Growth,Number Received SGP.1,"Median
SGP.1",% Low Growth.1,% Typical Growth.1,% High Growth.1
601,177,APPLING COUNTY,APPLING COUNTY ELEMENTARY SCHOOL,164,45.5,39.02439024390244,30.48780487804878,30.48780487804878,165,52,29.09090909090909,34.54545454545455,36.36363636363637
601,1050,APPLING COUNTY,ALTAMAHA ELEMENTARY SCHOOL,57,55,21.05263157894737,42.10526315789474,36.8421052631579,57,49,35.08771929824562,35.08771929824562,29.82456140350877
601,5050,APPLING COUNTY,FOURTH DISTRICT ELEMENTARY SCHOOL,17,52,29.41176470588235,29.41176470588235,41.1764705882353,17,53,41.1764705882353,23.529411764705884,35.294117647058826
602,187,ATKINSON COUNTY,WILLACOOCHEE ELEMENTARY SCHOOL,25,37,44,28,28,25,69,12,32,56
602,190,ATKINSON COUNTY,PEARSON ELEMENTARY SCHOOL,80,71,21.25,23.75,55,80,53.5,32.5,26.25,41.25
603,3050,BACON COUNTY,BACON COUNTY ELEMENTARY SCHOOL,146,43.5,36.986301369863014,31.506849315068493,31.506849315068493,146,55,31.506849315068493,32.87671232876713,35.61643835616438
604,105,BAKER COUNTY,BAKER COUNTY K12 SCHOOL,19,65,26.31578947368421,26.31578947368421,47.36842105263158,19,16,78.94736842105263,15.789473684210526,5.2631578947368425
605,300,BALDWIN COUNTY,LAKEVIEW ACADEMY,214,48.5,34.11214953271028,33.64485981308411,32.242990654205606,215,46,38.604651162790695,31.627906976744185,29.767441860465116
605,303,BALDWIN COUNTY,MIDWAY HILLS ACADEMY,136,52.5,32.35294117647059,31.61764705882353,36.029411764705884,139,44,38.84892086330935,28.057553956834532,33.093525179856115
606,107,BANKS COUNTY,BANKS COUNTY ELEMENTARY SCHOOL,189,50,35.97883597883598,32.27513227513227,31.746031746031747,189,41,43.386243386243386,30.158730158730158,26.455026455026456
607,105,BARROW COUNTY,COUNTY LINE ELEMENTARY SCHOOL,81,45,34.5679012345679,33.333333333333336,32.098765432098766,81,61,25.925925925925927,30.864197530864196,43.20987654320987
607,189,BARROW COUNTY,KENNEDY ELEMENTARY SCHOOL,134,44.5,40.298507462686565,29.104477611940297,30.597014925373134,134,34.5,50,25.37313432835821,24.62686567164179
607,193,BARROW COUNTY,BRAMLETT ELEMENTARY SCHOOL,88,56.5,27.272727272727273,31.818181818181817,40.90909090909091,88,35.5,50,23.863636363636363,26.136363636363637
607,205,BARROW COUNTY,BETHLEHEM ELEMENTARY SCHOOL,134,41.5,42.53731343283582,26.119402985074625,31.34328358208955,134,54,31.34328358208955,33.582089552238806,35.07462686567164
607,298,BARROW COUNTY,YARGO ELEMENTARY SCHOOL,137,48,34.306569343065696,27.73722627737226,37.956204379562045,137,55,29.927007299270073,32.846715328467155,37.22627737226277
607,299,BARROW COUNTY,WINDER ELEMENTARY SCHOOL,94,38.5,44.680851063829785,28.72340425531915,26.595744680851062,94,44.5,46.808510638297875,25.53191489361702,27.659574468085108
607,1050,BARROW COUNTY,AUBURN ELEMENTARY SCHOOL,107,28,54.205607476635514,27.102803738317757,18.69158878504673,106,36.5,48.113207547169814,32.075471698113205,19.81132075471698
607,4050,BARROW COUNTY,HOLSENBECK ELEMENTARY SCHOOL,116,60.5,33.62068965517241,22.413793103448278,43.96551724137931,116,68.5,17.24137931034483,31.896551724137932,50.86206896551724
607,5050,BARROW COUNTY,STATHAM ELEMENTARY SCHOOL,113,39,45.13274336283186,32.743362831858406,22.123893805309734,113,37,47.78761061946903,31.858407079646017,20.353982300884955
608,104,BARTOW COUNTY,CLEAR CREEK ELEMENTARY SCHOOL,102,58.5,32.35294117647059,30.392156862745097,37.254901960784316,102,67,22.54901960784314,25.49019607843137,51.96078431372549
608,106,BARTOW COUNTY,PINE LOG ELEMENTARY,71,48,30.985915492957748,39.436619718309856,29.577464788732396,71,57,30.985915492957748,33.80281690140845,35.2112676056338
608,107,BARTOW COUNTY,EUHARLEE ELEMENTARY SCHOOL,70,51.5,28.571428571428573,37.142857142857146,34.285714285714285,70,39.5,48.57142857142857,28.571428571428573,22.857142857142858
608,115,BARTOW COUNTY,CLOVERLEAF ELEMENTARY,90,55,24.444444444444443,33.333333333333336,42.22222222222222,90,39.5,43.333333333333336,36.666666666666664,20
608,175,BARTOW COUNTY,WHITE ELEMENTARY SCHOOL,69,46,36.231884057971016,33.333333333333336,30.434782608695652,69,44,36.231884057971016,46.3768115942029,17.391304347826086
608,177,BARTOW COUNTY,ADAIRSVILLE ELEMENTARY SCHOOL,119,46,40.33613445378151,30.252100840336134,29.41176470588235,119,29,53.78151260504202,31.932773109243698,14.285714285714286
608,186,BARTOW COUNTY,MISSION ROAD ELEMENTARY SCHOOL,56,48,32.142857142857146,30.357142857142858,37.5,56,41.5,37.5,23.214285714285715,39.285714285714285
608,196,BARTOW COUNTY,ALLATOONA ELEMENTARY SCHOOL,61,66,21.311475409836067,26.229508196721312,52.459016393442624,61,49,37.704918032786885,27.868852459016395,34.42622950819672
608,296,BARTOW COUNTY,KINGSTON ELEMENTARY SCHOOL,74,49,36.486486486486484,31.08108108108108,32.432432432432435,74,31,56.75675675675676,29.72972972972973,13.513513513513514
