identification code,County,SNAP All Persons Public Assistance Participation,SNAP All Persons Non-Public Assistance Participation,Calc: SNAP Total PA and Non-PA People,SNAP All Households Public Assistance Participation,SNAP All Households Non-Public Assistance Participation,Calc: SNAP Total PA and Non-PA Households,SNAP All Total Actual PA & Non-PA Issuance
1300101,APPLING,474,3252,3726,280,1496,1776,644272.0
1300301,ATKINSON,214,1548,1762,130,712,842,295584.0
1300501,BACON,300,2152,2452,177,954,1131,434593.0
1300701,BAKER,122,648,770,97,345,442,134150.0
1300901,BALDWIN,1087,6240,7327,752,3079,3831,1299959.0
1301101,BANKS,273,1873,2146,166,884,1050,355899.0
1301301,BARROW,1182,8324,9506,781,3898,4679,1694993.0
1301501,BARTOW CO DFCS,1589,11821,13410,1032,5587,6619,2422495.0
1301701,BEN HILL,613,3625,4238,387,1769,2156,720659.0
1301901,BERRIEN CO DFCS,550,3203,3753,332,1519,1851,641514.0
1302102,BIBB COUNTY DFCS,5802,32897,38699,3777,15725,19502,6963535.0
1302301,BLECKLEY,262,1837,2099,166,892,1058,363384.0
1302501,BRANTLEY,431,3316,3747,238,1535,1773,661483.0
1302701,BROOKS,546,3105,3651,346,1507,1853,620972.0
1302901,BRYAN CO DFCS,374,3083,3457,249,1407,1656,623963.0
1303101,BULLOCH,1374,10749,12123,830,5231,6061,2219222.0
1303301,BURKE,844,5101,5945,541,2399,2940,1036829.0
1303501,BUTTS,536,3603,4139,379,1727,2106,728990.0
1303701,CALHOUN CO DFCS,177,1095,1272,124,577,701,224665.0
1303901,CAMDEN,636,4853,5489,384,2249,2633,940778.0
1304301,CANDLER,319,2080,2399,200,931,1131,419141.0
1304502,CARROLL,2207,15826,18033,1375,7314,8689,3244903.0
1304701,CATOOSA,813,6141,6954,513,2822,3335,1184822.0
1304901,CHARLTON,232,1587,1819,148,760,908,312819.0
1305103,CHATHAM,4811,35872,40683,3263,17012,20275,7424395.0
1305301,CHATTAHOOCHEE CO DFCS,101,670,771,68,325,393,132745.0
1305501,CHATTOGA CO DFCS,678,4711,5389,457,2332,2789,919744.0
1305701,CHEROKEE,1158,11514,12672,779,5082,5861,2333563.0
1305901,CLARKE,2182,12092,14274,1452,6045,7497,2592060.0
1306101,CLAY CO DFCS,121,795,916,73,412,485,155081.0
1306301,CLAYTON CO DFCS,6941,60977,67918,3961,27811,31772,13059657.0
1306501,CLINCH CO DFCS,223,1351,1574,147,632,779,262315.0
1306702,COBB,5356,51632,56988,3273,24899,28172,10960886.0
1306901,COFFEE,1179,8196,9375,680,3776,4456,1635208.0
1307101,COLQUITT,1518,9143,10661,951,4358,5309,1853033.0
1307301,COLUMBIA CO DFCS,910,8846,9756,524,3825,4349,1753278.0
1307501,COOK,534,3323,3857,321,1558,1879,661620.0
1307702,COWETA,1491,11921,13412,939,5484,6423,2453740.0
1307901,CRAWFORD,265,1780,2045,184,839,1023,355382.0
1308101,CRISP CO FD STAMP OFC,834,4860,5694,543,2401,2944,1030527.0
1308301,DADE,216,1396,1612,148,673,821,252026.0
1308501,DAWSON CO DFCS,231,1793,2024,152,854,1006,359459.0
1308701,DECATUR CO DFCS,1039,5812,6851,624,2831,3455,1196232.0
1308903,DE KALB,13513,104234,117747,8786,49550,58336,22199071.0
1309105,DODGE,686,3571,4257,464,1731,2195,725772.0
1309301,DOOLY,335,2009,2344,227,1018,1245,410597.0
1309501,DOUGHERTY,4068,22914,26982,2642,11315,13957,4923887.0
1309701,DOUGLAS CO DFCS,2069,20181,22250,1219,9071,10290,4220158.0
1309901,EARLY,461,2611,3072,291,1248,1539,527407.0
