,zip,City,County Name
0,31001,ABBEVILLE,WILCOX
1,30102,ACWORTH,CHEROKEE
2,30101,ACWORTH,COBB
3,30103,ADAIRSVILLE,BARTOW
4,31620,ADEL,COOK
5,31002,ADRIAN,EMANUEL
6,30410,AILEY,MONTGOMERY
7,30411,ALAMO,WHEELER
8,31622,ALAPAHA,BERRIEN
9,31701,ALBANY,DOUGHERTY
10,31702,ALBANY,DOUGHERTY
11,31703,ALBANY,DOUGHERTY
12,31704,ALBANY,DOUGHERTY
13,31705,ALBANY,DOUGHERTY
14,31706,ALBANY,DOUGHERTY
15,31707,ALBANY,DOUGHERTY
16,31708,ALBANY,DOUGHERTY
17,31721,ALBANY,DOUGHERTY
18,31301,ALLENHURST,LIBERTY
19,31003,ALLENTOWN,WILKINSON
20,31510,ALMA,BACON
21,30004,ALPHARETTA,FULTON
22,30005,ALPHARETTA,FULTON
23,30009,ALPHARETTA,FULTON
24,30022,ALPHARETTA,FULTON
25,30023,ALPHARETTA,FULTON
26,30412,ALSTON,MONTGOMERY
27,30510,ALTO,HABERSHAM
28,31512,AMBROSE,COFFEE
29,31709,AMERICUS,SUMTER
30,31719,AMERICUS,SUMTER
31,31711,ANDERSONVILLE,SUMTER
32,30802,APPLING,COLUMBIA
33,31712,ARABI,CRISP
34,30104,ARAGON,POLK
35,31623,ARGYLE,CLINCH
36,39813,ARLINGTON,CALHOUN
37,30105,ARMUCHEE,FLOYD
38,30619,ARNOLDSVILLE,OGLETHORPE
39,31714,ASHBURN,TURNER
40,30601,ATHENS,CLARKE
41,30602,ATHENS,CLARKE
42,30603,ATHENS,CLARKE
43,30604,ATHENS,CLARKE
44,30605,ATHENS,CLARKE
45,30606,ATHENS,CLARKE
46,30607,ATHENS,CLARKE
47,30608,ATHENS,CLARKE
48,30612,ATHENS,CLARKE
49,30339,ATLANTA,COBB
50,30317,ATLANTA,DEKALB
51,30319,ATLANTA,DEKALB
52,30322,ATLANTA,DEKALB
53,30329,ATLANTA,DEKALB
54,30333,ATLANTA,DEKALB
55,30338,ATLANTA,DEKALB
56,30340,ATLANTA,DEKALB
57,30341,ATLANTA,DEKALB
58,30345,ATLANTA,DEKALB
59,30346,ATLANTA,DEKALB
60,30356,ATLANTA,DEKALB
61,30359,ATLANTA,DEKALB
62,30360,ATLANTA,DEKALB
63,30362,ATLANTA,DEKALB
64,30366,ATLANTA,DEKALB
65,31107,ATLANTA,DEKALB
66,31119,ATLANTA,DEKALB
67,31141,ATLANTA,DEKALB
68,31145,ATLANTA,DEKALB
69,31146,ATLANTA,DEKALB
70,30301,ATLANTA,FULTON
71,30302,ATLANTA,FULTON
72,30303,ATLANTA,FULTON
73,30304,ATLANTA,FULTON
74,30305,ATLANTA,FULTON
75,30306,ATLANTA,FULTON
76,30307,ATLANTA,FULTON
77,30308,ATLANTA,FULTON
78,30309,ATLANTA,FULTON
79,30310,ATLANTA,FULTON
80,30311,ATLANTA,FULTON
81,30312,ATLANTA,FULTON
82,30313,ATLANTA,FULTON
83,30314,ATLANTA,FULTON
84,30315,ATLANTA,FULTON
85,30316,ATLANTA,FULTON
86,30318,ATLANTA,FULTON
87,30320,ATLANTA,FULTON
88,30321,ATLANTA,FULTON
89,30324,ATLANTA,FULTON
90,30325,ATLANTA,FULTON
91,30326,ATLANTA,FULTON
92,30327,ATLANTA,FULTON
93,30328,ATLANTA,FULTON
94,30331,ATLANTA,FULTON
95,30332,ATLANTA,FULTON
96,30334,ATLANTA,FULTON
97,30336,ATLANTA,FULTON
98,30337,ATLANTA,FULTON
99,30342,ATLANTA,FULTON
100,30343,ATLANTA,FULTON
101,30344,ATLANTA,FULTON
102,30348,ATLANTA,FULTON
103,30349,ATLANTA,FULTON
104,30350,ATLANTA,FULTON
105,30354,ATLANTA,FULTON
106,30355,ATLANTA,FULTON
107,30357,ATLANTA,FULTON
108,30358,ATLANTA,FULTON
109,30361,ATLANTA,FULTON
110,30363,ATLANTA,FULTON
111,30364,ATLANTA,FULTON
112,30368,ATLANTA,FULTON
113,30371,ATLANTA,FULTON
114,30375,ATLANTA,FULTON
115,30377,ATLANTA,FULTON
116,30380,ATLANTA,FULTON
117,30392,ATLANTA,FULTON
118,30396,ATLANTA,FULTON
119,31106,ATLANTA,FULTON
120,31126,ATLANTA,FULTON
121,31131,ATLANTA,FULTON
122,31139,ATLANTA,FULTON
123,31150,ATLANTA,FULTON
124,31156,ATLANTA,FULTON
125,39815,ATTAPULGUS,DECATUR
126,30011,AUBURN,BARROW
127,30907,AUGUSTA,COLUMBIA
128,30917,AUGUSTA,COLUMBIA
129,30901,AUGUSTA,RICHMOND
130,30903,AUGUSTA,RICHMOND
131,30904,AUGUSTA,RICHMOND
132,30905,AUGUSTA,RICHMOND
133,30906,AUGUSTA,RICHMOND
134,30909,AUGUSTA,RICHMOND
135,30912,AUGUSTA,RICHMOND
136,30914,AUGUSTA,RICHMOND
137,30916,AUGUSTA,RICHMOND
138,30919,AUGUSTA,RICHMOND
139,30106,AUSTELL,COBB
140,30168,AUSTELL,COBB
141,30803,AVERA,JEFFERSON
142,30002,AVONDALE ESTATES,DEKALB
143,31624,AXSON,ATKINSON
144,31716,BACONTON,MITCHELL
145,39817,BAINBRIDGE,DECATUR
146,39818,BAINBRIDGE,DECATUR
147,39819,BAINBRIDGE,DECATUR
148,30511,BALDWIN,BANKS
149,30107,BALL GROUND,CHEROKEE
150,30204,BARNESVILLE,LAMAR
151,31625,BARNEY,BROOKS
152,30413,BARTOW,JEFFERSON
153,31720,BARWICK,BROOKS
154,31513,BAXLEY,APPLING
155,31515,BAXLEY,APPLING
156,30414,BELLVILLE,EVANS
157,31722,BERLIN,COLQUITT
158,30620,BETHLEHEM,BARROW
159,30621,BISHOP,OCONEE
160,31516,BLACKSHEAR,PIERCE
161,30512,BLAIRSVILLE,UNION
162,30514,BLAIRSVILLE,UNION
163,39823,BLAKELY,EARLY
164,31302,BLOOMINGDALE,CHATHAM
165,30513,BLUE RIDGE,FANNIN
166,39824,BLUFFTON,CLAY
167,30805,BLYTHE,RICHMOND
168,30622,BOGART,OCONEE
169,31004,BOLINGBROKE,MONROE
170,31005,BONAIRE,HOUSTON
171,30806,BONEVILLE,MCDUFFIE
172,31626,BOSTON,THOMAS
173,30623,BOSTWICK,MORGAN
174,30108,BOWDON,CARROLL
175,30109,BOWDON JUNCTION,CARROLL
176,30516,BOWERSVILLE,HART
177,30624,BOWMAN,ELBERT
178,31801,BOX SPRINGS,TALBOT
179,30517,BRASELTON,JACKSON
180,30110,BREMEN,HARALSON
181,39825,BRINSON,DECATUR
182,31518,BRISTOL,PIERCE
183,39826,BRONWOOD,TERRELL
184,31727,BROOKFIELD,TIFT
185,30415,BROOKLET,BULLOCH
186,30205,BROOKS,FAYETTE
187,31519,BROXTON,COFFEE
188,31520,BRUNSWICK,GLYNN
189,31521,BRUNSWICK,GLYNN
190,31523,BRUNSWICK,GLYNN
191,31524,BRUNSWICK,GLYNN
192,31525,BRUNSWICK,GLYNN
193,30113,BUCHANAN,HARALSON
194,30625,BUCKHEAD,MORGAN
195,31803,BUENA VISTA,MARION
196,30515,BUFORD,GWINNETT
197,30518,BUFORD,GWINNETT
198,30519,BUFORD,GWINNETT
199,31006,BUTLER,TAYLOR
200,31007,BYROMVILLE,DOOLY
201,31008,BYRON,PEACH
202,31009,CADWELL,LAURENS
203,39827,CAIRO,GRADY
204,39828,CAIRO,GRADY
205,30701,CALHOUN,GORDON
206,30703,CALHOUN,GORDON
207,39829,CALVARY,GRADY
208,30807,CAMAK,WARREN
209,31730,CAMILLA,MITCHELL
210,30520,CANON,FRANKLIN
211,30114,CANTON,CHEROKEE
212,30115,CANTON,CHEROKEE
213,30169,CANTON,CHEROKEE
214,30627,CARLTON,MADISON
215,30521,CARNESVILLE,FRANKLIN
216,30112,CARROLLTON,CARROLL
217,30116,CARROLLTON,CARROLL
218,30117,CARROLLTON,CARROLL
219,30118,CARROLLTON,CARROLL
220,30119,CARROLLTON,CARROLL
221,30120,CARTERSVILLE,BARTOW
222,30121,CARTERSVILLE,BARTOW
223,30123,CASSVILLE,BARTOW
224,31804,CATAULA,HARRIS
225,30124,CAVE SPRING,FLOYD
226,31627,CECIL,COOK
227,39832,CEDAR SPRINGS,EARLY
228,30125,CEDARTOWN,POLK
229,31028,CENTERVILLE,HOUSTON
230,30705,CHATSWORTH,MURRAY
