zip,city,county
31001,ABBEVILLE,WILCOX
30102,ACWORTH,CHEROKEE
30101,ACWORTH,COBB
30103,ADAIRSVILLE,BARTOW
31620,ADEL,COOK
31002,ADRIAN,EMANUEL
30410,AILEY,MONTGOMERY
30411,ALAMO,WHEELER
31622,ALAPAHA,BERRIEN
31701,ALBANY,DOUGHERTY
31702,ALBANY,DOUGHERTY
31703,ALBANY,DOUGHERTY
31704,ALBANY,DOUGHERTY
31705,ALBANY,DOUGHERTY
31706,ALBANY,DOUGHERTY
31707,ALBANY,DOUGHERTY
31708,ALBANY,DOUGHERTY
31721,ALBANY,DOUGHERTY
31301,ALLENHURST,LIBERTY
31003,ALLENTOWN,WILKINSON
31510,ALMA,BACON
30004,ALPHARETTA,FULTON
30005,ALPHARETTA,FULTON
30009,ALPHARETTA,FULTON
30022,ALPHARETTA,FULTON
30023,ALPHARETTA,FULTON
30412,ALSTON,MONTGOMERY
30510,ALTO,HABERSHAM
31512,AMBROSE,COFFEE
31709,AMERICUS,SUMTER
31719,AMERICUS,SUMTER
31711,ANDERSONVILLE,SUMTER
30802,APPLING,COLUMBIA
31712,ARABI,CRISP
30104,ARAGON,POLK
31623,ARGYLE,CLINCH
39813,ARLINGTON,CALHOUN
30105,ARMUCHEE,FLOYD
30619,ARNOLDSVILLE,OGLETHORPE
31714,ASHBURN,TURNER
30601,ATHENS,CLARKE
30602,ATHENS,CLARKE
30603,ATHENS,CLARKE
30604,ATHENS,CLARKE
30605,ATHENS,CLARKE
30606,ATHENS,CLARKE
30607,ATHENS,CLARKE
30608,ATHENS,CLARKE
30612,ATHENS,CLARKE
30339,ATLANTA,COBB
30317,ATLANTA,DEKALB
30319,ATLANTA,DEKALB
30322,ATLANTA,DEKALB
30329,ATLANTA,DEKALB
30333,ATLANTA,DEKALB
30338,ATLANTA,DEKALB
30340,ATLANTA,DEKALB
30341,ATLANTA,DEKALB
30345,ATLANTA,DEKALB
30346,ATLANTA,DEKALB
30356,ATLANTA,DEKALB
30359,ATLANTA,DEKALB
30360,ATLANTA,DEKALB
30362,ATLANTA,DEKALB
30366,ATLANTA,DEKALB
31107,ATLANTA,DEKALB
31119,ATLANTA,DEKALB
31141,ATLANTA,DEKALB
31145,ATLANTA,DEKALB
31146,ATLANTA,DEKALB
30301,ATLANTA,FULTON
30302,ATLANTA,FULTON
30303,ATLANTA,FULTON
30304,ATLANTA,FULTON
30305,ATLANTA,FULTON
30306,ATLANTA,FULTON
30307,ATLANTA,FULTON
30308,ATLANTA,FULTON
30309,ATLANTA,FULTON
30310,ATLANTA,FULTON
30311,ATLANTA,FULTON
30312,ATLANTA,FULTON
30313,ATLANTA,FULTON
30314,ATLANTA,FULTON
30315,ATLANTA,FULTON
30316,ATLANTA,FULTON
30318,ATLANTA,FULTON
30320,ATLANTA,FULTON
30321,ATLANTA,FULTON
30324,ATLANTA,FULTON
30325,ATLANTA,FULTON
30326,ATLANTA,FULTON
30327,ATLANTA,FULTON
30328,ATLANTA,FULTON
30331,ATLANTA,FULTON
30332,ATLANTA,FULTON
30334,ATLANTA,FULTON
30336,ATLANTA,FULTON
30337,ATLANTA,FULTON
30342,ATLANTA,FULTON
30343,ATLANTA,FULTON
30344,ATLANTA,FULTON
30348,ATLANTA,FULTON
30349,ATLANTA,FULTON
30350,ATLANTA,FULTON
30354,ATLANTA,FULTON
30355,ATLANTA,FULTON
30357,ATLANTA,FULTON
30358,ATLANTA,FULTON
30361,ATLANTA,FULTON
30363,ATLANTA,FULTON
30364,ATLANTA,FULTON
30368,ATLANTA,FULTON
30371,ATLANTA,FULTON
30375,ATLANTA,FULTON
30377,ATLANTA,FULTON
30380,ATLANTA,FULTON
30392,ATLANTA,FULTON
30396,ATLANTA,FULTON
31106,ATLANTA,FULTON
31126,ATLANTA,FULTON
31131,ATLANTA,FULTON
31139,ATLANTA,FULTON
31150,ATLANTA,FULTON
31156,ATLANTA,FULTON
39815,ATTAPULGUS,DECATUR
30011,AUBURN,BARROW
30907,AUGUSTA,COLUMBIA
30917,AUGUSTA,COLUMBIA
30901,AUGUSTA,RICHMOND
30903,AUGUSTA,RICHMOND
30904,AUGUSTA,RICHMOND
30905,AUGUSTA,RICHMOND
30906,AUGUSTA,RICHMOND
30909,AUGUSTA,RICHMOND
30912,AUGUSTA,RICHMOND
30914,AUGUSTA,RICHMOND
30916,AUGUSTA,RICHMOND
30919,AUGUSTA,RICHMOND
30106,AUSTELL,COBB
30168,AUSTELL,COBB
30803,AVERA,JEFFERSON
30002,AVONDALE ESTATES,DEKALB
31624,AXSON,ATKINSON
31716,BACONTON,MITCHELL
39817,BAINBRIDGE,DECATUR
39818,BAINBRIDGE,DECATUR
39819,BAINBRIDGE,DECATUR
30511,BALDWIN,BANKS
30107,BALL GROUND,CHEROKEE
30204,BARNESVILLE,LAMAR
31625,BARNEY,BROOKS
30413,BARTOW,JEFFERSON
31720,BARWICK,BROOKS
31513,BAXLEY,APPLING
31515,BAXLEY,APPLING
30414,BELLVILLE,EVANS
31722,BERLIN,COLQUITT
30620,BETHLEHEM,BARROW
30621,BISHOP,OCONEE
31516,BLACKSHEAR,PIERCE
30512,BLAIRSVILLE,UNION
30514,BLAIRSVILLE,UNION
39823,BLAKELY,EARLY
31302,BLOOMINGDALE,CHATHAM
30513,BLUE RIDGE,FANNIN
39824,BLUFFTON,CLAY
30805,BLYTHE,RICHMOND
30622,BOGART,OCONEE
31004,BOLINGBROKE,MONROE
31005,BONAIRE,HOUSTON
30806,BONEVILLE,MCDUFFIE
31626,BOSTON,THOMAS
30623,BOSTWICK,MORGAN
30108,BOWDON,CARROLL
30109,BOWDON JUNCTION,CARROLL
30516,BOWERSVILLE,HART
30624,BOWMAN,ELBERT
31801,BOX SPRINGS,TALBOT
30517,BRASELTON,JACKSON
30110,BREMEN,HARALSON
39825,BRINSON,DECATUR
31518,BRISTOL,PIERCE
39826,BRONWOOD,TERRELL
31727,BROOKFIELD,TIFT
30415,BROOKLET,BULLOCH
30205,BROOKS,FAYETTE
31519,BROXTON,COFFEE
31520,BRUNSWICK,GLYNN
31521,BRUNSWICK,GLYNN
31523,BRUNSWICK,GLYNN
31524,BRUNSWICK,GLYNN
31525,BRUNSWICK,GLYNN
30113,BUCHANAN,HARALSON
30625,BUCKHEAD,MORGAN
31803,BUENA VISTA,MARION
30515,BUFORD,GWINNETT
30518,BUFORD,GWINNETT
30519,BUFORD,GWINNETT
31006,BUTLER,TAYLOR
31007,BYROMVILLE,DOOLY
31008,BYRON,PEACH
31009,CADWELL,LAURENS
39827,CAIRO,GRADY
39828,CAIRO,GRADY
30701,CALHOUN,GORDON
30703,CALHOUN,GORDON
39829,CALVARY,GRADY
30807,CAMAK,WARREN
31730,CAMILLA,MITCHELL
30520,CANON,FRANKLIN
30114,CANTON,CHEROKEE
30115,CANTON,CHEROKEE
30169,CANTON,CHEROKEE
30627,CARLTON,MADISON
30521,CARNESVILLE,FRANKLIN
30112,CARROLLTON,CARROLL
30116,CARROLLTON,CARROLL
30117,CARROLLTON,CARROLL
30118,CARROLLTON,CARROLL
30119,CARROLLTON,CARROLL
30120,CARTERSVILLE,BARTOW
30121,CARTERSVILLE,BARTOW
30123,CASSVILLE,BARTOW
31804,CATAULA,HARRIS
30124,CAVE SPRING,FLOYD
31627,CECIL,COOK
39832,CEDAR SPRINGS,EARLY
30125,CEDARTOWN,POLK
31028,CENTERVILLE,HOUSTON
30705,CHATSWORTH,MURRAY
31011,CHAUNCEY,DODGE
30522,CHERRY LOG,GILMER
31012,CHESTER,DODGE
30502,CHESTNUT MOUNTAIN,HALL
30707,CHICKAMAUGA,WALKER
31733,CHULA,TIFT
30708,CISCO,MURRAY
30111,CLARKDALE,COBB
30523,CLARKESVILLE,HABERSHAM
30021,CLARKSTON,DEKALB
30417,CLAXTON,EVANS
30525,CLAYTON,RABUN
30527,CLERMONT,HALL
